Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
1,University of Alabama,3.35,PhD,Los Angeles,F,N/A,0,0,4,Senior SWE,06/06,08/08,Lawyer,08/08,03/09,Junior SWE,04/09,08/10,7.09
2,Stanford University,3.9,Masters,New York City,N/A,N/A,1,N/A,2,ML Engineer,01/07,03/09,N/A,N/A,N/A,N/A,N/A,N/A,9.02
3,Cornell University,2.28,PhD,Dallas,F,0.0,0,1,1,ML Engineer,12/08,02/11,Research Assistant,02/11,09/11,ML Engineer,11/11,06/14,8.09
4,University of Washington,3.21,Bachelors,San Diego,M,1.0,1,1,3,Junior Data Scientist,09/05,02/06,Lawyer,05/06,02/08,Research Assistant,03/08,07/10,9.18
5,University of Kansas,3.56,Bachelors,Chicago,F,0.0,1,0,1,ML Engineer,10/02,04/03,Research Assistant,04/03,10/04,Teaching Assistant,11/04,08/06,5.27
6,Pennsylvania State University,2.06,PhD,San Diego,N/A,N/A,0,N/A,3,Senior Data Scientist,06/07,11/09,Lawyer,11/09,10/10,Senior Data Scientist,11/10,02/12,2.23
7,Virginia Tech,2.13,Bachelors,San Antonio,F,0.0,1,1,4,Research Assistant,08/09,07/11,N/A,N/A,N/A,N/A,N/A,N/A,1.89
8,Yale University,3.55,Bachelors,Philadelphia,N/A,1.0,1,N/A,2,Senior Data Scientist,06/01,12/02,Lawyer,01/03,10/04,Lawyer,10/04,08/06,9.19
9,Boston University,2.73,PhD,Houston,M,1.0,0,N/A,2,Senior SWE,01/08,07/08,N/A,N/A,N/A,N/A,N/A,N/A,6.2
10,Stanford University,2.76,Bachelors,Philadelphia,M,1.0,0,N/A,4,Junior SWE,10/00,04/03,Senior Data Scientist,07/03,07/04,ML Engineer,10/04,06/05,7.69
11,University of Washington,3.13,Bachelors,Phoenix,N/A,N/A,0,0,4,Junior Data Scientist,07/06,02/08,Lawyer,02/08,04/10,ML Engineer,07/10,12/11,5.21
12,University of Colorado Boulder,3.21,Masters,Philadelphia,F,0.0,1,N/A,3,ML Engineer,11/04,08/05,Lawyer,09/05,11/07,Junior SWE,02/08,09/08,1.23
13,Stanford University,3.35,PhD,San Antonio,N/A,1.0,0,1,3,Senior Data Scientist,11/08,04/10,Junior SWE,05/10,08/11,ML Engineer,09/11,08/13,9.59
14,Carnegie Mellon University,3.89,Masters,Houston,N/A,N/A,1,N/A,3,Junior Data Scientist,07/00,11/00,ML Engineer,01/01,07/03,ML Engineer,07/03,02/05,8.78
15,University of Tennessee Knoxville,2.74,PhD,San Antonio,N/A,0.0,0,0,0,Junior Data Scientist,08/02,12/02,Research Assistant,02/03,11/04,ML Engineer,01/05,12/05,4.39
16,University of Massachusetts Amherst,3.52,Bachelors,Los Angeles,M,N/A,0,N/A,2,Junior SWE,12/09,03/12,Junior SWE,03/12,08/13,Teaching Assistant,09/13,03/16,2.03
17,University of Washington,3.14,Masters,Philadelphia,N/A,0.0,1,0,0,Senior SWE,12/02,05/04,Junior Data Scientist,06/04,03/06,Senior Data Scientist,05/06,06/07,1.96
18,University of Utah,3.05,Masters,New York City,N/A,0.0,0,N/A,4,Research Assistant,05/08,07/09,Junior Data Scientist,09/09,07/10,Teaching Assistant,10/10,02/11,7.82
19,Texas A&M University,2.79,Masters,Dallas,M,1.0,0,0,0,Teaching Assistant,07/00,12/01,Lawyer,03/02,04/04,Junior Data Scientist,06/04,11/04,6.73
20,Harvard University,3.29,Bachelors,Los Angeles,F,1.0,0,N/A,4,Junior SWE,03/02,11/02,N/A,N/A,N/A,N/A,N/A,N/A,3.18
21,Louisiana State University (LSU),2.49,PhD,Dallas,N/A,0.0,0,0,4,Teaching Assistant,11/07,03/10,N/A,N/A,N/A,N/A,N/A,N/A,6.73
22,University of Connecticut,2.22,Bachelors,Chicago,M,0.0,0,0,3,Research Assistant,04/08,07/08,Lawyer,09/08,05/11,N/A,N/A,N/A,2.12
23,Vanderbilt University,3.47,PhD,Phoenix,F,0.0,0,N/A,4,Senior Data Scientist,06/09,12/09,Junior Data Scientist,02/10,03/11,ML Engineer,03/11,10/12,1.46
24,Northwestern University,2.99,Bachelors,New York City,F,0.0,1,0,1,Research Assistant,07/01,02/03,Junior SWE,03/03,09/04,Junior Data Scientist,09/04,02/07,2.5
25,Iowa State University,2.77,Bachelors,Philadelphia,F,0.0,1,N/A,4,Teaching Assistant,02/08,06/09,ML Engineer,06/09,03/10,Senior SWE,03/10,08/11,6.74
26,Vanderbilt University,3.12,Bachelors,Dallas,F,0.0,1,N/A,1,ML Engineer,01/06,07/07,ML Engineer,09/07,01/10,Research Assistant,03/10,06/12,8.04
27,University of Chicago,2.52,Bachelors,San Antonio,N/A,0.0,0,0,4,Lawyer,10/02,06/04,Junior Data Scientist,07/04,10/05,N/A,N/A,N/A,0.52
28,University of Chicago,2.52,PhD,Philadelphia,M,0.0,0,1,1,Senior SWE,11/03,11/05,Teaching Assistant,12/05,09/06,N/A,N/A,N/A,5.12
