Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Candidate evaluation
1,University of Alabama,3.35,PhD,Los Angeles,F,N/A,0,0,4,Senior SWE,06/06,08/08,Lawyer,08/08,03/09,Junior SWE,04/09,08/10,7.09,0
2,Stanford University,3.9,Masters,New York City,N/A,N/A,1,N/A,2,ML Engineer,01/07,03/09,N/A,N/A,N/A,N/A,N/A,N/A,9.02,0
3,Cornell University,2.28,PhD,Dallas,F,0.0,0,1,1,ML Engineer,12/08,02/11,Research Assistant,02/11,09/11,ML Engineer,11/11,06/14,8.09,1
4,University of Washington,3.21,Bachelors,San Diego,M,1.0,1,1,3,Junior Data Scientist,09/05,02/06,Lawyer,05/06,02/08,Research Assistant,03/08,07/10,9.18,0
5,University of Kansas,3.56,Bachelors,Chicago,F,0.0,1,0,1,ML Engineer,10/02,04/03,Research Assistant,04/03,10/04,Teaching Assistant,11/04,08/06,5.27,0
6,Pennsylvania State University,2.06,PhD,San Diego,N/A,N/A,0,N/A,3,Senior Data Scientist,06/07,11/09,Lawyer,11/09,10/10,Senior Data Scientist,11/10,02/12,2.23,0
7,Virginia Tech,2.13,Bachelors,San Antonio,F,0.0,1,1,4,Research Assistant,08/09,07/11,N/A,N/A,N/A,N/A,N/A,N/A,1.89,0
8,Yale University,3.55,Bachelors,Philadelphia,N/A,1.0,1,N/A,2,Senior Data Scientist,06/01,12/02,Lawyer,01/03,10/04,Lawyer,10/04,08/06,9.19,0
9,Boston University,2.73,PhD,Houston,M,1.0,0,N/A,2,Senior SWE,01/08,07/08,N/A,N/A,N/A,N/A,N/A,N/A,6.2,0
10,Stanford University,2.76,Bachelors,Philadelphia,M,1.0,0,N/A,4,Junior SWE,10/00,04/03,Senior Data Scientist,07/03,07/04,ML Engineer,10/04,06/05,7.69,0
11,University of Washington,3.13,Bachelors,Phoenix,N/A,N/A,0,0,4,Junior Data Scientist,07/06,02/08,Lawyer,02/08,04/10,ML Engineer,07/10,12/11,5.21,0
12,University of Colorado Boulder,3.21,Masters,Philadelphia,F,0.0,1,N/A,3,ML Engineer,11/04,08/05,Lawyer,09/05,11/07,Junior SWE,02/08,09/08,1.23,0
13,Stanford University,3.35,PhD,San Antonio,N/A,1.0,0,1,3,Senior Data Scientist,11/08,04/10,Junior SWE,05/10,08/11,ML Engineer,09/11,08/13,9.59,0
14,Carnegie Mellon University,3.89,Masters,Houston,N/A,N/A,1,N/A,3,Junior Data Scientist,07/00,11/00,ML Engineer,01/01,07/03,ML Engineer,07/03,02/05,8.78,0
15,University of Tennessee Knoxville,2.74,PhD,San Antonio,N/A,0.0,0,0,0,Junior Data Scientist,08/02,12/02,Research Assistant,02/03,11/04,ML Engineer,01/05,12/05,4.39,0
16,University of Massachusetts Amherst,3.52,Bachelors,Los Angeles,M,N/A,0,N/A,2,Junior SWE,12/09,03/12,Junior SWE,03/12,08/13,Teaching Assistant,09/13,03/16,2.03,1
17,University of Washington,3.14,Masters,Philadelphia,N/A,0.0,1,0,0,Senior SWE,12/02,05/04,Junior Data Scientist,06/04,03/06,Senior Data Scientist,05/06,06/07,1.96,0
18,University of Utah,3.05,Masters,New York City,N/A,0.0,0,N/A,4,Research Assistant,05/08,07/09,Junior Data Scientist,09/09,07/10,Teaching Assistant,10/10,02/11,7.82,0
19,Texas A&M University,2.79,Masters,Dallas,M,1.0,0,0,0,Teaching Assistant,07/00,12/01,Lawyer,03/02,04/04,Junior Data Scientist,06/04,11/04,6.73,0
