applicant_id,score
"1","7.09"
"2","9.02"
"3","8.09"
"4","9.18"
"5","5.27"
"6","2.23"
"7","1.89"
"8","9.19"
"9","6.2"
"10","7.69"
"11","5.21"
"12","1.23"
"13","9.59"
"14","8.78"
"15","4.39"
"16","2.03"
"17","1.96"
"18","7.82"
"19","6.73"
"20","3.18"
"21","6.73"
"22","2.12"
"23","1.46"
"24","2.5"
"25","6.74"
"26","8.04"
"27","0.52"
"28","5.12"
"29","3.0"
"30","8.89"
"31","7.21"
"32","4.19"
"33","4.59"
"34","0.83"
"35","4.26"
"36","8.72"
"37","7.41"
"38","2.49"
"39","2.9"
"40","2.3"
"41","1.85"
"42","0.02"
"43","9.53"
"44","5.53"
"45","0.45"
"46","5.82"
"47","7.38"
"48","8.39"
"49","1.88"
"50","2.07"
"51","2.96"
"52","8.65"
"53","8.06"
"54","1.1"
"55","2.81"
"56","3.78"
"57","2.47"
"58","6.52"
"59","4.17"
"60","4.63"
"61","5.55"
"62","2.51"
"63","9.23"
"64","9.84"
"65","1.93"
"66","1.95"
"67","3.49"
"68","3.59"
"69","6.47"
"70","6.06"
"71","8.65"
"72","9.22"
"73","7.65"
"74","4.69"
"75","1.7"
"76","0.27"
"77","7.17"
"78","3.86"
"79","7.13"
"80","8.34"
"81","5.12"
"82","1.38"
"83","9.52"
"84","1.32"
"85","7.05"
"86","2.06"
"87","2.83"
"88","7.94"
"89","6.38"
"90","8.8"
"91","9.38"
"92","2.87"
"93","0.33"
"94","7.36"
"95","9.87"
"96","5.12"
"97","1.02"
"98","3.56"
"99","0.19"
"100","8.82"
"101","1.35"
"102","4.68"
"103","0.36"
"104","0.75"
"105","9.39"
"106","9.72"
"107","5.79"
"108","0.22"
"109","4.7"
"110","1.7"
"111","8.86"
"112","3.58"
"113","1.17"
"114","8.66"
"115","6.24"
"116","0.67"
"117","2.46"
"118","1.83"
"119","3.05"
"120","1.4"
"121","6.11"
"122","3.47"
"123","7.06"
"124","5.13"
"125","4.33"
"126","6.5"
"127","3.96"
"128","1.97"
"129","2.19"
"130","4.81"
"131","4.95"
"132","5.88"
"133","7.63"
"134","7.51"
"135","3.36"
"136","3.37"
"137","8.71"
"138","8.58"
"139","9.8"
"140","1.14"
"141","7.39"
"142","3.71"
"143","5.65"
"144","0.13"
"145","4.09"
"146","7.88"
"147","0.48"
"148","8.04"
"149","8.92"
"150","1.75"
"151","4.44"
"152","0.09"
"153","4.27"
"154","3.35"
"155","9.53"
"156","9.09"
"157","4.88"
"158","7.97"
"159","8.52"
"160","7.52"
"161","5.09"
"162","2.44"
"163","4.08"
"164","8.47"
"165","9.31"
"166","8.96"
"167","2.3"
"168","5.96"
"169","0.72"
"170","9.44"
"171","8.83"
"172","5.22"
"173","3.86"
"174","9.09"
"175","0.37"
"176","9.28"
"177","6.22"
"178","4.81"
"179","7.64"
"180","0.9"
"181","1.53"
"182","8.29"
"183","7.07"
"184","5.38"
"185","2.04"
"186","3.08"
"187","6.34"
"188","1.16"
"189","3.14"
"190","1.29"
"191","6.76"
"192","8.39"
"193","7.52"
"194","6.21"
"195","6.29"
"196","9.55"
"197","1.73"
"198","3.44"
"199","6.66"
"200","1.86"
"201","4.26"
"202","6.46"
"203","4.03"
"204","7.43"
"205","6.23"
"206","5.65"
"207","7.12"
"208","1.25"
"209","8.8"
"210","6.55"
"211","5.12"
"212","0.86"
"213","7.68"
"214","5.26"
"215","0.77"
"216","3.43"
"217","5.96"
"218","5.16"
"219","0.7"
"220","1.18"
"221","5.07"
"222","6.82"
"223","8.25"
"224","7.56"
"225","8.77"
"226","9.56"
"227","8.63"
"228","5.34"
"229","5.54"
